city,quality_data
Delray Beach,"{""CO"": {""concentration"": 223.64, ""aqi"": 2}, ""NO2"": {""concentration"": 5.83, ""aqi"": 7}, ""O3"": {""concentration"": 57.22, ""aqi"": 48}, ""SO2"": {""concentration"": 0.64, ""aqi"": 0}, ""PM2.5"": {""concentration"": 2.25, ""aqi"": 7}, ""PM10"": {""concentration"": 6, ""aqi"": 5}, ""overall_aqi"": 48}"
New York,"{""CO"": {""concentration"": 1014.71, ""aqi"": 11}, ""NO2"": {""concentration"": 70.6, ""aqi"": 88}, ""O3"": {""concentration"": 0, ""aqi"": 0}, ""SO2"": {""concentration"": 2.03, ""aqi"": 2}, ""PM2.5"": {""concentration"": 30.92, ""aqi"": 81}, ""PM10"": {""concentration"": 46.52, ""aqi"": 43}, ""overall_aqi"": 88}"
Waterbury,"{""CO"": {""concentration"": 280.38, ""aqi"": 3}, ""NO2"": {""concentration"": 6.51, ""aqi"": 8}, ""O3"": {""concentration"": 60.08, ""aqi"": 53}, ""SO2"": {""concentration"": 0.26, ""aqi"": 0}, ""PM2.5"": {""concentration"": 1.56, ""aqi"": 5}, ""PM10"": {""concentration"": 2.29, ""aqi"": 2}, ""overall_aqi"": 53}"
Centennial,"{""CO"": {""concentration"": 534.06, ""aqi"": 6}, ""NO2"": {""concentration"": 58.26, ""aqi"": 72}, ""O3"": {""concentration"": 2.35, ""aqi"": 1}, ""SO2"": {""concentration"": 2.59, ""aqi"": 3}, ""PM2.5"": {""concentration"": 17.75, ""aqi"": 54}, ""PM10"": {""concentration"": 22.48, ""aqi"": 20}, ""overall_aqi"": 72}"
Lakewood,"{""CO"": {""concentration"": 333.79, ""aqi"": 3}, ""NO2"": {""concentration"": 19.71, ""aqi"": 24}, ""O3"": {""concentration"": 45.42, ""aqi"": 38}, ""SO2"": {""concentration"": 0.41, ""aqi"": 0}, ""PM2.5"": {""concentration"": 8.36, ""aqi"": 27}, ""PM10"": {""concentration"": 13.54, ""aqi"": 12}, ""overall_aqi"": 38}"
Waldorf,"{""CO"": {""concentration"": 253.68, ""aqi"": 2}, ""NO2"": {""concentration"": 7.2, ""aqi"": 9}, ""O3"": {""concentration"": 26.11, ""aqi"": 22}, ""SO2"": {""concentration"": 0.54, ""aqi"": 0}, ""PM2.5"": {""concentration"": 1.49, ""aqi"": 4}, ""PM10"": {""concentration"": 1.81, ""aqi"": 1}, ""overall_aqi"": 22}"
Gilbert,"{""CO"": {""concentration"": 240.33, ""aqi"": 2}, ""NO2"": {""concentration"": 6.6, ""aqi"": 8}, ""O3"": {""concentration"": 70.81, ""aqi"": 86}, ""SO2"": {""concentration"": 0.47, ""aqi"": 0}, ""PM2.5"": {""concentration"": 2.98, ""aqi"": 9}, ""PM10"": {""concentration"": 8.81, ""aqi"": 8}, ""overall_aqi"": 86}"
Inglewood,"{""CO"": {""concentration"": 961.3, ""aqi"": 10}, ""NO2"": {""concentration"": 95.96, ""aqi"": 109}, ""O3"": {""concentration"": 0.02, ""aqi"": 0}, ""SO2"": {""concentration"": 6.44, ""aqi"": 9}, ""PM2.5"": {""concentration"": 48.48, ""aqi"": 116}, ""PM10"": {""concentration"": 77.55, ""aqi"": 61}, ""overall_aqi"": 116}"
Waterloo,"{""CO"": {""concentration"": 253.68, ""aqi"": 2}, ""NO2"": {""concentration"": 5.01, ""aqi"": 6}, ""O3"": {""concentration"": 57.94, ""aqi"": 49}, ""SO2"": {""concentration"": 0.74, ""aqi"": 1}, ""PM2.5"": {""concentration"": 5.46, ""aqi"": 17}, ""PM10"": {""concentration"": 10.41, ""aqi"": 9}, ""overall_aqi"": 49}"
Gainesville,"{""CO"": {""concentration"": 233.65, ""aqi"": 2}, ""NO2"": {""concentration"": 3.86, ""aqi"": 4}, ""O3"": {""concentration"": 49.35, ""aqi"": 41}, ""SO2"": {""concentration"": 0.85, ""aqi"": 1}, ""PM2.5"": {""concentration"": 3.92, ""aqi"": 12}, ""PM10"": {""concentration"": 4.39, ""aqi"": 4}, ""overall_aqi"": 41}"
