City,State,Median Age,Male Population,Female Population,Total Population,Foreign-born,Average Household Size,State Code
Denver,Colorado,34.1,341137.0,341408.0,682545,113222.0,2.33,CO
Provo,Utah,23.6,56231.0,59027.0,115258,10925.0,3.28,UT
Hampton,Virginia,35.5,66214.0,70240.0,136454,6204.0,2.48,VA
Birmingham,Alabama,35.6,102122.0,112789.0,214911,8258.0,2.21,AL
Greeley,Colorado,31.0,50792.0,50091.0,100883,11480.0,2.75,CO
Spring Valley,Nevada,37.0,96808.0,97147.0,193955,61072.0,2.79,NV
Tustin,California,33.4,39511.0,41052.0,80563,25034.0,3.27,CA
Springfield,Massachusetts,31.8,74744.0,79592.0,154336,16226.0,2.81,MA
Fort Wayne,Indiana,34.7,124815.0,133329.0,258144,19146.0,2.45,IN
Santa Ana,California,30.8,167503.0,167920.0,335423,152999.0,4.58,CA
Dayton,Ohio,32.8,66631.0,73966.0,140597,7381.0,2.26,OH
Redondo Beach,California,43.0,34855.0,33330.0,68185,13536.0,2.34,CA
Shawnee,Kansas,40.1,32313.0,32745.0,65058,4136.0,2.64,KS
Bethlehem,Pennsylvania,35.1,35861.0,38506.0,74367,6295.0,2.46,PA
Pasadena,California,37.6,67712.0,74534.0,142246,40779.0,2.63,CA
Somerville,Massachusetts,31.0,41028.0,39306.0,80334,22292.0,2.43,MA
Muncie,Indiana,27.4,32446.0,37255.0,69701,1062.0,2.35,IN
Sparks,Nevada,36.1,47780.0,48318.0,96098,15690.0,2.63,NV
Compton,California,30.1,49264.0,49184.0,98448,30660.0,4.08,CA
Jurupa Valley,California,33.8,49430.0,50884.0,100314,25338.0,3.87,CA
Buena Park,California,35.7,41593.0,41671.0,83264,28430.0,3.55,CA
Tampa,Florida,35.3,175517.0,193511.0,369028,58795.0,2.47,FL
Midland,Texas,32.1,66595.0,66355.0,132950,17061.0,2.78,TX
Rialto,California,31.6,49902.0,53235.0,103137,32741.0,3.83,CA
Pomona,California,32.1,74945.0,78307.0,153252,53879.0,3.63,CA
Arlington,Virginia,34.4,113981.0,115183.0,229164,55205.0,2.19,VA
Portland,Maine,40.3,31480.0,35392.0,66872,9229.0,2.13,ME
Kenosha,Wisconsin,36.3,49349.0,50507.0,99856,7443.0,2.55,WI
Racine,Wisconsin,33.7,39314.0,38423.0,77737,4403.0,2.56,WI
Garden Grove,California,37.8,86779.0,88605.0,175384,80677.0,3.66,CA
Longview,Texas,36.8,40065.0,41525.0,81590,8782.0,2.55,TX
Detroit,Michigan,34.8,319265.0,357859.0,677124,39861.0,2.6,MI
Temple,Texas,33.6,33512.0,38785.0,72297,3968.0,2.59,TX
Mountain View,California,33.5,42493.0,37945.0,80438,31857.0,2.46,CA
Omaha,Nebraska,34.2,218789.0,225098.0,443887,48263.0,2.47,NE
Athens-Clarke County unified government,Georgia,26.5,57415.0,65148.0,122563,12868.0,2.44,GA
